epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50303,1.8996,2.68354,3.83861,0.00336,5.49068,0.00333,0.03846,0.00012,3e-05,0.01133,0.13077,0.00153,0.00042,1.38089,2.23625,3.59069,0.0036,0,0,0,0
2,7.16609,1.46797,2.3334,3.81327,0.00326,5.30441,0.00333,0.03846,0.00012,3e-05,0.01333,0.15385,0.00208,0.00051,1.3582,2.22071,3.59464,0.00351,0,1.9802e-05,1.9802e-05,1.9802e-05
3,7.89602,1.55123,2.46327,3.81339,0.00334,5.42585,0.00267,0.03077,0.0001,3e-05,0.01333,0.15385,0.0021,0.00053,1.35861,2.19714,3.59474,0.00347,0,3.9208e-05,3.9208e-05,3.9208e-05
4,8.59491,1.79956,2.56204,3.84985,0.00338,5.32329,0.00267,0.03077,0.0001,3e-05,0.01333,0.15385,0.00208,0.00053,1.35272,2.17615,3.59609,0.00347,0,5.8218e-05,5.8218e-05,5.8218e-05
5,9.19577,1.65308,2.52494,3.80026,0.00345,5.51366,0.00267,0.03077,0.0001,3e-05,0.014,0.16154,0.00239,0.00061,1.35567,2.14895,3.58602,0.00349,0,7.6832e-05,7.6832e-05,7.6832e-05
6,9.87904,1.54074,2.31085,3.8583,0.00305,5.45229,0.00267,0.03077,0.0001,3e-05,0.01467,0.16923,0.00246,0.00081,1.35917,2.11607,3.5736,0.00353,0,9.505e-05,9.505e-05,9.505e-05
7,10.5224,1.47732,2.27877,3.84045,0.00331,5.49547,0.00267,0.03077,0.0001,3e-05,0.01533,0.17692,0.0027,0.00084,1.36144,2.12916,3.5655,0.00353,0,0.000112872,0.000112872,0.000112872
8,11.1923,1.71323,2.42399,3.87997,0.00327,5.42255,0.00333,0.03846,0.00012,3e-05,0.01533,0.17692,0.00272,0.00097,1.35657,2.12087,3.56006,0.00349,0,0.000130298,0.000130298,0.000130298
9,11.9326,1.73134,2.4773,3.84365,0.00316,5.35978,0.00667,0.07692,0.00051,0.00013,0.024,0.27692,0.00665,0.0023,1.2834,2.01696,3.50048,0.00335,0,0.000147328,0.000147328,0.000147328
10,12.7568,1.47417,2.0579,3.67651,0.00288,5.19209,0.00667,0.07692,0.00052,0.00017,0.026,0.3,0.00786,0.00284,1.2424,1.86261,3.43852,0.00331,0,0.000163962,0.000163962,0.000163962
11,13.5638,1.87536,2.38584,3.66152,0.00287,4.83637,0.016,0.18462,0.003,0.0009,0.03667,0.42308,0.01577,0.00581,1.23919,1.77087,3.43197,0.00321,0,0.0001802,0.0001802,0.0001802
12,14.3708,1.6478,2.1033,3.57655,0.00277,4.57132,0.024,0.27692,0.00695,0.00219,0.03867,0.44615,0.01778,0.0066,1.24347,1.66808,3.39499,0.00322,0,0.000196042,0.000196042,0.000196042
13,15.1313,1.35929,1.69896,3.46542,0.00272,4.33722,0.03,0.34615,0.01298,0.00436,0.04133,0.47692,0.03052,0.01172,1.24491,1.59787,3.37839,0.00317,0,0.000211488,0.000211488,0.000211488
14,15.9185,1.4025,1.74229,3.43273,0.00256,4.03063,0.034,0.39231,0.01971,0.0089,0.04267,0.49231,0.06295,0.02316,1.25532,1.58231,3.33654,0.00317,0,0.000226538,0.000226538,0.000226538
15,16.712,1.60205,1.97737,3.41792,0.00254,3.96984,0.03733,0.43077,0.034,0.01665,0.04467,0.51538,0.0938,0.0393,1.2882,1.57382,3.26619,0.00336,0,0.000241192,0.000241192,0.000241192
16,17.5484,1.35587,1.6181,3.27706,0.00253,3.90876,0.04267,0.49231,0.04698,0.02013,0.04867,0.56154,0.15204,0.05688,1.30621,1.45723,3.21692,0.00344,0,0.00025545,0.00025545,0.00025545
17,18.4099,1.44634,1.8977,3.24413,0.00235,3.6986,0.04733,0.54615,0.08303,0.02808,0.05267,0.60769,0.17764,0.06977,1.30491,1.36301,3.19458,0.00341,0,0.000269312,0.000269312,0.000269312
18,19.1776,1.65363,1.8601,3.22022,0.0024,3.79494,0.04733,0.54615,0.08303,0.02808,0.05267,0.60769,0.17764,0.06977,1.30491,1.36301,3.19458,0.00341,0,0.000282778,0.000282778,0.000282778
19,20.0189,1.33127,1.80616,3.13413,0.00225,3.40499,0.05067,0.58462,0.11701,0.03649,0.05933,0.68462,0.23962,0.08814,1.3011,1.31774,3.22022,0.00343,0,0.000295848,0.000295848,0.000295848
20,20.874,1.30964,1.65336,3.05289,0.00225,3.25183,0.05067,0.58462,0.11701,0.03649,0.05933,0.68462,0.23962,0.08814,1.3011,1.31774,3.22022,0.00343,0,0.000308522,0.000308522,0.000308522
21,21.7175,1.45946,1.85276,3.10352,0.00209,3.44697,0.05533,0.63846,0.15008,0.05424,0.06333,0.73077,0.28771,0.10934,1.2871,1.26051,3.20707,0.00339,0,0.0003208,0.0003208,0.0003208
22,22.478,1.30857,1.61681,2.95087,0.00226,3.15933,0.05533,0.63846,0.15008,0.05424,0.06333,0.73077,0.28771,0.10934,1.2871,1.26051,3.20707,0.00339,0,0.000332682,0.000332682,0.000332682
23,23.3403,1.28647,1.46635,2.99161,0.00226,3.20901,0.056,0.64615,0.22104,0.07679,0.066,0.76154,0.34223,0.1302,1.20555,1.24859,3.18336,0.00312,0,0.000344168,0.000344168,0.000344168
24,24.0875,1.13376,1.37457,2.86163,0.0022,2.93061,0.056,0.64615,0.22104,0.07679,0.066,0.76154,0.34223,0.1302,1.20555,1.24859,3.18336,0.00312,0,0.000355258,0.000355258,0.000355258
25,24.9101,1.25703,1.49083,2.89067,0.00213,2.96708,0.058,0.66923,0.25213,0.09792,0.068,0.78462,0.35969,0.15193,1.12271,1.23147,3.1359,0.00287,0,0.000365952,0.000365952,0.000365952
26,25.68,1.15193,1.42721,2.78312,0.00203,2.72203,0.058,0.66923,0.25213,0.09792,0.068,0.78462,0.35969,0.15193,1.12271,1.23147,3.1359,0.00287,0,0.00037625,0.00037625,0.00037625
27,26.4813,1.31975,1.47934,2.80722,0.00209,2.90999,0.06133,0.70769,0.26825,0.10235,0.06933,0.8,0.36119,0.15101,1.09264,1.16054,3.09695,0.00284,0,0.000386152,0.000386152,0.000386152
28,27.2674,1.27807,1.55149,2.61449,0.00218,2.6337,0.06133,0.70769,0.26825,0.10235,0.06933,0.8,0.36119,0.15101,1.09264,1.16054,3.09695,0.00284,0,0.000395658,0.000395658,0.000395658
29,28.0851,1.33105,1.4297,2.71866,0.00206,2.71853,0.06267,0.72308,0.28033,0.10915,0.072,0.83077,0.3962,0.17065,1.08094,1.11198,3.09128,0.0028,0,0.000404768,0.000404768,0.000404768
30,28.8876,1.18323,1.47194,2.57173,0.00187,2.60241,0.06267,0.72308,0.28033,0.10915,0.072,0.83077,0.3962,0.17065,1.08094,1.11198,3.09128,0.0028,0,0.000413482,0.000413482,0.000413482
31,29.7256,1.1844,1.44126,2.58266,0.00192,2.43285,0.06467,0.74615,0.30077,0.11913,0.07267,0.83846,0.4032,0.1881,1.06925,1.08024,3.08941,0.0027,0,0.0004218,0.0004218,0.0004218
32,30.5307,1.19031,1.41997,2.45096,0.00179,2.3506,0.06467,0.74615,0.30077,0.11913,0.07267,0.83846,0.4032,0.1881,1.06925,1.08024,3.08941,0.0027,0,0.000429722,0.000429722,0.000429722
33,31.2979,1.06978,1.33494,2.3718,0.00192,2.33348,0.06667,0.76923,0.32157,0.14323,0.074,0.85385,0.4201,0.21505,1.05449,1.05604,3.08171,0.00268,0,0.000437248,0.000437248,0.000437248
34,32.0897,1.17284,1.28738,2.28838,0.00192,2.14157,0.06667,0.76923,0.32157,0.14323,0.074,0.85385,0.4201,0.21505,1.05449,1.05604,3.08171,0.00268,0,0.000444378,0.000444378,0.000444378
35,32.9596,1.14801,1.13252,2.28927,0.0019,2.14002,0.06733,0.77692,0.34137,0.14864,0.07333,0.84615,0.41227,0.215,1.04175,1.06042,3.05983,0.00261,0,0.000451112,0.000451112,0.000451112
36,33.8528,1.16124,1.20505,2.13285,0.00195,2.03268,0.06733,0.77692,0.34137,0.14864,0.07333,0.84615,0.41227,0.215,1.04175,1.06042,3.05983,0.00261,0,0.00045745,0.00045745,0.00045745
37,34.7936,1.12157,1.15186,2.20208,0.00191,1.88838,0.06933,0.8,0.34325,0.13541,0.07533,0.86923,0.40541,0.19664,1.021,1.0021,3.01512,0.00258,0,0.000463392,0.000463392,0.000463392
38,35.6759,1.14517,1.15555,2.01662,0.00186,1.85992,0.06933,0.8,0.34325,0.13541,0.07533,0.86923,0.40541,0.19664,1.021,1.0021,3.01512,0.00258,0,0.000468938,0.000468938,0.000468938
39,36.5446,1.21294,1.34304,2.06585,0.00189,1.89901,0.07133,0.82308,0.33809,0.12659,0.07733,0.89231,0.42567,0.17996,0.95236,0.98531,3.00842,0.0024,0,0.000474088,0.000474088,0.000474088
40,37.3795,1.38174,1.34547,2.00254,0.0019,1.75461,0.07133,0.82308,0.33809,0.12659,0.07733,0.89231,0.42567,0.17996,0.95236,0.98531,3.00842,0.0024,0,0.000478842,0.000478842,0.000478842
41,38.3326,1.19143,1.18209,1.8868,0.00188,1.75382,0.07333,0.84615,0.31304,0.12633,0.07733,0.89231,0.41844,0.16275,0.93375,1.0255,2.96066,0.00235,0,0.0004832,0.0004832,0.0004832
42,39.1282,1.20552,1.18019,1.81536,0.0018,1.54559,0.07333,0.84615,0.31304,0.12633,0.07733,0.89231,0.41844,0.16275,0.93375,1.0255,2.96066,0.00235,0,0.000487162,0.000487162,0.000487162
43,39.9925,1.29123,1.25004,1.80064,0.00193,1.65605,0.07467,0.86154,0.34404,0.1347,0.078,0.9,0.41869,0.17113,0.91607,1.02066,2.87048,0.00231,0,0.000490728,0.000490728,0.000490728
44,40.8784,0.98938,1.00713,1.58916,0.00176,1.35005,0.07467,0.86154,0.34404,0.1347,0.078,0.9,0.41869,0.17113,0.91607,1.02066,2.87048,0.00231,0,0.000493898,0.000493898,0.000493898
45,41.9527,1.03737,0.97655,1.59716,0.00188,1.38371,0.07467,0.86154,0.30035,0.11028,0.07867,0.90769,0.3709,0.14608,0.9001,1.06127,2.79391,0.00227,0,0.000496672,0.000496672,0.000496672
46,42.7513,1.18505,1.25642,1.51767,0.00181,1.31592,0.07467,0.86154,0.30035,0.11028,0.07867,0.90769,0.3709,0.14608,0.9001,1.06127,2.79391,0.00227,0,0.00049905,0.00049905,0.00049905
47,43.5988,1.04479,0.96748,1.44251,0.00183,1.36157,0.07733,0.89231,0.26681,0.09816,0.07733,0.89231,0.33599,0.1243,0.90028,1.04583,2.71465,0.00235,0,0.000501032,0.000501032,0.000501032
48,44.2886,1.21243,1.16978,1.44017,0.00183,1.28812,0.07733,0.89231,0.26681,0.09816,0.07733,0.89231,0.33599,0.1243,0.90028,1.04583,2.71465,0.00235,0,0.000502618,0.000502618,0.000502618
49,45.0424,1.33365,1.29872,1.52448,0.0018,1.39771,0.07667,0.88462,0.2414,0.10231,0.07733,0.89231,0.33265,0.14842,0.907,1.02263,2.63954,0.0024,0,0.000503808,0.000503808,0.000503808
50,45.7705,1.10614,1.06218,1.3782,0.00169,1.2054,0.07667,0.88462,0.2414,0.10231,0.07733,0.89231,0.33265,0.14842,0.907,1.02263,2.63954,0.0024,0,0.000504602,0.000504602,0.000504602
51,46.4848,1.06842,0.99426,1.52964,0.00203,1.18679,0.07667,0.88462,0.39376,0.24621,0.07867,0.90769,0.43261,0.26842,0.87901,1.01395,2.52329,0.0023,0,0.000505,0.000505,0.000505
52,47.2541,1.18657,1.14777,1.42678,0.00168,1.24949,0.07667,0.88462,0.39376,0.24621,0.07867,0.90769,0.43261,0.26842,0.87901,1.01395,2.52329,0.0023,0,0.000505002,0.000505002,0.000505002
53,48.0749,1.15839,1.13963,1.35222,0.00167,1.17653,0.07667,0.88462,0.39376,0.24621,0.07867,0.90769,0.43261,0.26842,0.87901,1.01395,2.52329,0.0023,0,0.000504608,0.000504608,0.000504608
