epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70379,1.88511,2.66664,5.78771,0.00331,8.8678,0,0,0,0,0,0,0,0,1.38089,2.23625,5.64597,0.0036,0,0,0,0
2,7.58976,1.44306,2.35585,5.79132,0.00318,8.87665,0,0,0,0,0,0,0,0,1.3582,2.22071,5.65078,0.00351,0,1.16832e-06,1.16832e-06,1.16832e-06
3,8.34396,1.5299,2.46255,5.79811,0.00328,8.86173,0,0,0,0,0,0,0,0,1.35857,2.19749,5.65194,0.00349,0,2.31327e-06,2.31327e-06,2.31327e-06
4,9.13848,1.77382,2.55123,5.83322,0.00333,8.85691,0,0,0,0,0,0,0,0,1.36711,2.16722,5.64038,0.00355,0,3.43486e-06,3.43486e-06,3.43486e-06
5,10.0013,1.63228,2.49629,5.76389,0.00337,8.87313,0,0,0,0,0,0,0,0,1.35458,2.14525,5.63266,0.00354,0,4.53309e-06,4.53309e-06,4.53309e-06
6,10.8521,1.52681,2.3263,5.7986,0.00301,8.82381,0,0,0,0,0,0,0,0,1.3437,2.12579,5.62279,0.00348,0,5.60795e-06,5.60795e-06,5.60795e-06
7,11.7009,1.45026,2.28144,5.80523,0.00324,8.84219,0,0,0,0,0,0,0,0,1.34992,2.11753,5.61359,0.00346,0,6.65945e-06,6.65945e-06,6.65945e-06
8,12.6234,1.70855,2.38966,5.80578,0.00323,8.85236,0,0,0,0,0,0,0,0,1.33724,2.04379,5.59376,0.00346,0,7.68758e-06,7.68758e-06,7.68758e-06
9,13.4516,1.67587,2.41762,5.79666,0.00298,8.83297,0,0,0,0,0,0,0,0,1.31844,2.05505,5.5845,0.00341,0,8.69235e-06,8.69235e-06,8.69235e-06
10,14.2582,1.52772,2.22333,5.76176,0.00304,8.85226,0,0,0,0,0,0,0,0,1.30504,2.03753,5.57544,0.00337,0,9.67376e-06,9.67376e-06,9.67376e-06
